ID,Main_Part_ID,Secondary_Part_ID,Sheet_Element_ID,Color,Rebrickable_Name,"Official_Name, Category"
E1,2654.0,,4278359.0,Black,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],Slide Shoe Round 2X2,"Plates, Round & Angles"
E2,2736.0,,4211375.0,Medium Stone Grey,Technic Axle Towball,Ball W. Cross Axle,Connectors
C1,2780.0,,4121715.0,Black,Technic Pin with Friction Ridges Lengthwise and Center Slots,Connector Peg W. Friction,Connectors
C2,2815.0,,6028041.0,Black,Technic Wedge Belt Wheel Tire,Tyre for Wedge-Belt Wheel,Modified Tyres & Rims
C3,3648.0,24505.0,4514558.0,Dark Stone Grey,Technic Gear 24 Tooth [New Style with Single Axle Hole][Type 1],Gear Wheel Z24,Gears & Gear Racks
C4,3649.0,34432.0,4285634.0,Medium Stone Grey,Technic Gear 40 Tooth,Gear Wheel 40T,Gears & Gear Racks
C5,3673.0,,4211807.0,Medium Stone Grey,Technic Pin without Friction Ridges Lengthwise,Connector Peg,Connectors
C6,3705.0,,370526.0,Black,Technic Axle 4,Cross Axle 4M,Connectors
C7,3706.0,,370626.0,Black,Tehnic Axle 6,Cross Axle 6M,Connectors
C8,3707.0,,370726.0,Black,Technic Axle 8,Cross Axle 8M,Connectors
C9,3708.0,,370826.0,Black,Technic Axle 12,Cross Axle 12M,Connectors
C10,3713.0,42798.0,4211622.0,Medium Stone Grey,Technic Bush,Bush for Cross Axle,Connectors
C11,3737.0,,373726.0,Black,Technic Axle 10,Cross Axle 10M,Connectors
C12,3749.0,6562.0,4666579.0,Brick Yellow,Technic Axle Pin without Friction Ridges Lengthwise,Connector Peg/Cross Axle,Connectors
E13,3941.0,39223.0,4178398.0,Transparent Light Blue,Brick Round 2 x 2 with Axle Hole,Brick 2x2 Cricle W/ Cross,"Bricks, Round & Angles"
E14,3941.0,39223.0,611649.0,Transparent Yellow,Brick Round 2 x 2 with Axle Hole,Brick 2x2 Cricle W/ Cross,"Bricks, Round & Angles"
E15,4032.0,,403226.0,Black,Plate Round 2 x 2 with Axle Hole Type 1 (+ Opening),Plate 2x2 Round,"Plates, Round & Angles"
C13,4185.0,49750.0,4587275.0,Dark Stone Grey,Technic Wedge Belt Wheel [aka Pulley],Wedge-Belt Wheel Ø24,Modified Tyres & Rims
C14,4519.0,,4211815.0,Medium Stone Grey,Technic Axle 3,Cross Axle 3M,Connectors
C15,4716.0,32905.0,4211510.0,Medium Stone Grey,Technic Worm Gear,"Worm Gear, 2 Module, for Gear Wheel",Gears & Gear Racks
C16,6536.0,40146.0,4211775.0,Medium Stone Grey,Technic Axle and Pin Connector Perpendicular,Cross Block 90°,Modified Technic Beams
E19,6538.0,,4207456.0,Brick Yellow,Technic Axle Connector Ridged [with x Hole x Orientation],"Cross Axle, Extension M/3 Ribs",Connectors
E20,6539.0,,4278957.0,Bright Red,Technic Driving Ring 2L,Driving Ring,Connectors
E21,6542.0,,4558690.0,Dark Stone Grey,Technic Gear 16 Tooth with Clutch [Smooth],Gear Wheel Z16-Ø4.9,Gears & Gear Racks
E22,6553.0,,4210665.0,Dark Stone Grey,Technic Axle 1.5 with Perpendicular Axle Connector (Technic Pole Reverser Handle),Catch,Connectors
C17,6558.0,,4514553.0,Bright Blue,"Technic Pin Long with Friction Ridges Lengthwise, 2 Center Slots",Connector Peg W. Friction 3M,Connectors
E24,6575.0,,4210759.0,Dark Stone Grey,Technic Cam,Comb Wheel,Technic Half Beams
C18,6587.0,13670.0,6031821.0,Sand Yellow,Technic Axle 3 with Stud,Cross Axle 3M With Knob,Connectors
C19,6589.0,,4565452.0,Brick Yellow,Technic Gear 12 Tooth Bevel,Conical Wheel Z12,Gears & Gear Racks
E27,6628.0,66906.0,4184169.0,Black,Technic Pin with Friction Ridges Lengthwise and Towball,Ball With Friction Snap,Connectors
C20,6629.0,42149.0,4112282.0,Black,Technic Beam 1 x 9 Bent (6 - 4) Thick,Technic Angular Beam 4X6,Technic Beams
E29,6632.0,65123.0,4211566.0,Medium Stone Grey,Technic Beam 1 x 3 Thin,Technic Lever 3M,Technic Half Beams
E30,6641.0,51149.0,4270473.0,Bright Red,Technic Changeover Catch - + opening,Technic Change-Over Catch,Connectors
E31,10197.0,,6005331.0,Dark Stone Grey,Technic Pin Connector Hub with 2 Perpendicular Axles,Beam 1M W. 2 Cross Axles 90°,Connectors
